,sentiments_x2
1394,Not Valid
1395,0.9275896549224854
1396,0.061512500047683716
1397,Not Valid
1398,Not Valid
1399,0.20076727867126465
1400,Not Valid
1401,Not Valid
1402,Not Valid
1403,0.7712068557739258
1404,Not Valid
1405,0.030506104230880737
1406,0.8236199021339417
1407,0.2090701162815094
1408,Not Valid
1409,Not Valid
1410,Not Valid
1411,Not Valid
1412,0.7829923033714294
1413,Not Valid
1414,Not Valid
1415,Not Valid
1416,0.5
1417,Not Valid
1418,Not Valid
1419,Not Valid
1420,Not Valid
1421,0.1724969744682312
1422,0.12158551812171936
1423,Not Valid
1424,0.061512500047683716
1425,Not Valid
1426,0.009098321199417114
1427,0.19399228692054749
1428,Not Valid
1429,0.26682358980178833
1430,Not Valid
1431,Not Valid
1432,0.1601024568080902
1433,0.12636098265647888
1434,Not Valid
1435,Not Valid
1436,Not Valid
