,sentiments_y
1290,Not Valid
1291,Not Valid
1292,Not Valid
1293,Not Valid
1294,Not Valid
1295,Not Valid
1296,Not Valid
1297,Not Valid
1298,Not Valid
1299,Not Valid
1300,Not Valid
1301,Not Valid
1302,Not Valid
1303,Not Valid
1304,Not Valid
1305,Not Valid
1306,Not Valid
1307,Not Valid
1308,Not Valid
1309,Not Valid
1310,Not Valid
1311,Not Valid
1312,Not Valid
1313,Not Valid
1314,Not Valid
1315,Not Valid
1316,Not Valid
1317,Not Valid
1318,Not Valid
1319,Not Valid
1320,Not Valid
1321,Not Valid
1322,Not Valid
1323,Not Valid
1324,Not Valid
1325,Not Valid
1326,Not Valid
1327,Not Valid
1328,Not Valid
1329,Not Valid
1330,Not Valid
1331,Not Valid
1332,Not Valid
1333,Not Valid
1334,Not Valid
1335,Not Valid
1336,Not Valid
1337,Not Valid
1338,Not Valid
1339,Not Valid
1340,Not Valid
1341,Not Valid
1342,Not Valid
1343,Not Valid
1344,Not Valid
1345,Not Valid
1346,Not Valid
1347,Not Valid
1348,Not Valid
1349,Not Valid
1350,Not Valid
1351,Not Valid
1352,0.5
1353,Not Valid
1354,Not Valid
1355,Not Valid
1356,Not Valid
1357,0.17148512601852417
1358,Not Valid
1359,Not Valid
1360,Not Valid
1361,Not Valid
1362,Not Valid
1363,Not Valid
1364,Not Valid
1365,Not Valid
1366,Not Valid
1367,Not Valid
1368,Not Valid
1369,Not Valid
1370,Not Valid
1371,Not Valid
1372,Not Valid
1373,Not Valid
1374,Not Valid
1375,Not Valid
1376,Not Valid
1377,Not Valid
1378,Not Valid
1379,Not Valid
1380,Not Valid
1381,Not Valid
1382,Not Valid
1383,Not Valid
1384,Not Valid
1385,Not Valid
1386,Not Valid
1387,Not Valid
1388,Not Valid
1389,Not Valid
1390,Not Valid
1391,Not Valid
1392,Not Valid
1393,Not Valid
1394,0.7132553458213806
1395,Not Valid
1396,Not Valid
1397,Not Valid
1398,Not Valid
1399,Not Valid
1400,Not Valid
1401,Not Valid
1402,Not Valid
1403,Not Valid
1404,Not Valid
1405,Not Valid
1406,Not Valid
1407,Not Valid
1408,Not Valid
1409,Not Valid
1410,Not Valid
1411,Not Valid
1412,Not Valid
1413,Not Valid
1414,Not Valid
1415,Not Valid
1416,Not Valid
1417,Not Valid
1418,Not Valid
1419,Not Valid
1420,Not Valid
1421,Not Valid
1422,Not Valid
1423,Not Valid
1424,Not Valid
1425,Not Valid
1426,Not Valid
1427,Not Valid
1428,Not Valid
1429,Not Valid
1430,Not Valid
1431,Not Valid
1432,Not Valid
1433,Not Valid
1434,Not Valid
1435,Not Valid
1436,Not Valid
1437,Not Valid
1438,Not Valid
1439,Not Valid
1440,Not Valid
1441,Not Valid
1442,Not Valid
1443,Not Valid
1444,Not Valid
1445,Not Valid
1446,Not Valid
1447,Not Valid
1448,Not Valid
1449,Not Valid
1450,Not Valid
1451,Not Valid
1452,Not Valid
1453,Not Valid
1454,Not Valid
1455,Not Valid
1456,Not Valid
1457,Not Valid
1458,Not Valid
1459,Not Valid
1460,Not Valid
1461,Not Valid
1462,Not Valid
1463,Not Valid
1464,Not Valid
1465,Not Valid
1466,Not Valid
1467,Not Valid
1468,Not Valid
1469,Not Valid
1470,Not Valid
1471,Not Valid
1472,Not Valid
1473,Not Valid
1474,Not Valid
1475,Not Valid
1476,Not Valid
1477,Not Valid
1478,Not Valid
1479,Not Valid
1480,Not Valid
1481,Not Valid
1482,Not Valid
1483,Not Valid
1484,Not Valid
1485,Not Valid
1486,Not Valid
1487,Not Valid
1488,Not Valid
1489,Not Valid
1490,Not Valid
1491,0.784644603729248
1492,Not Valid
1493,Not Valid
1494,Not Valid
1495,Not Valid
1496,Not Valid
1497,Not Valid
1498,Not Valid
1499,Not Valid
1500,Not Valid
1501,Not Valid
1502,Not Valid
1503,Not Valid
1504,Not Valid
1505,Not Valid
1506,Not Valid
